RECORDING_SESSION_LABEL,sentence,word_complex,preview,condition,CURRENT_FIX_INDEX,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_RUN_ID,CURRENT_FIX_X,,
05wyh,119,HC,JH,HC_JH,1,1,1,121,,0
05wyh,119,HC,JH,HC_JH,2,1,1,227.9,,0
05wyh,119,HC,JH,HC_JH,3,1,1,199.5,,0
05wyh,119,HC,JH,HC_JH,4,1,1,257.9,,1
05wyh,119,HC,JH,HC_JH,5,2,1,361.7,,1
05wyh,119,HC,JH,HC_JH,6,1,2,195,,0
05wyh,119,HC,JH,HC_JH,7,1,2,243.6,,1
05wyh,119,HC,JH,HC_JH,8,2,2,360.1,,1
05wyh,119,HC,JH,HC_JH,9,4,1,412.1,,1
05wyh,119,HC,JH,HC_JH,10,2,3,373.4,,1
05wyh,119,HC,JH,HC_JH,11,5,1,581.2,,0
05wyh,119,HC,JH,HC_JH,12,5,1,653,,1
05wyh,20,LC,TP,LC_TP,1,1,1,108.6,,0
05wyh,20,LC,TP,LC_TP,2,1,1,215.4,,0
05wyh,20,LC,TP,LC_TP,3,1,1,175.5,,0
05wyh,20,LC,TP,LC_TP,4,1,1,263.1,,1
05wyh,20,LC,TP,LC_TP,5,5,1,386,,0
05wyh,20,LC,TP,LC_TP,6,5,1,475.4,,0
05wyh,20,LC,TP,LC_TP,7,5,1,613.1,,0
05wyh,20,LC,TP,LC_TP,8,5,1,668.8,,1
05wyh,20,LC,TP,LC_TP,9,.,.,768.3,,1
05wyh,20,LC,TP,LC_TP,10,5,2,536.2,,0
05wyh,20,LC,TP,LC_TP,11,5,2,694.7,,1
05wyh,78,HC,ID,HC_ID,1,1,1,118.8,,0
05wyh,78,HC,ID,HC_ID,2,1,1,205.8,,0
05wyh,78,HC,ID,HC_ID,3,1,1,183.6,,0
05wyh,78,HC,ID,HC_ID,4,1,1,273.3,,1
05wyh,78,HC,ID,HC_ID,5,3,1,344.6,,1
05wyh,78,HC,ID,HC_ID,6,1,2,295.2,,1
05wyh,78,HC,ID,HC_ID,7,5,1,432.3,,0
