"","RECORDING_SESSION_LABEL","sentence","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREA_INDEX","CURRENT_FIX_INTEREST_AREA_RUN_ID","CURRENT_FIX_X","LaunchSite"
"1","anxy",1,"7","2","1","368.7","51.3"
"2","anxy",2,"15","2","2","379.2","5.80000000000001"
"3","anxy",3,"3","2","1","264.8","50.2"
"4","anxy",4,"5","2","2","295.1","18.9"
"5","anxy",5,"8","2","1","431.5","23.5"
"6","anxy",6,"4","2","1","337.6","47.4"
"7","anxy",7,"6","2","2","294.8","21.2"
"8","anxy",8,"4","2","1","356.8","28.2"
"9","anxy",9,"3","1","1","311.7","73.3"
"10","anxy",10,"3","1","1","271.1","114.9"
"11","anxy",11,"4","2","1","378.8","6.19999999999999"
"12","anxy",12,"4","2","1","302.8","13.2"
"13","anxy",13,"9","1","2","169.6","319.4"
"14","anxy",14,"13","2","1","349.3","0.699999999999989"
"15","anxy",15,"10","1","2","441.8","81.2"
"16","anxy",16,"5","1","1","383.6","71.4"
"17","anxy",17,"6","2","1","470.3","17.7"
"18","anxy",18,"9","2","1","516.8","41.2"
"19","anxy",19,"4","2","1","294.95","19.05"
"20","anxy",20,"9","2","1","411.3","8.69999999999999"
"21","anxy",21,"4","1","1","311.4","73.6"
"22","anxy",22,"8","2","1","481.6","7.39999999999998"
"23","anxy",23,"4","2","1","360.1","23.9"
"24","anxy",24,"6","1","1","419.1","69.9"
"25","anxy",25,"12","2","1","382.6","1.39999999999998"
"26","anxy",26,"9","2","1","444","45"
"27","anxy",27,"4","2","1","413.4","40.6"
"28","anxy",28,"3","2","1","292.1","57.9"
"29","anxy",29,"7","2","1","338.1","46.9"
"30","anxy",30,"6","1","1","172","108"
"31","anxy",31,"3","2","1","227.2","51.8"
"32","anxy",32,"10","2","1","500.4","57.6"
"33","anxy",33,"4","2","1","366.3","52.7"
"34","anxy",34,"6","1","1","464.4","92.6"
"35","anxy",35,"5","2","1","333.9","16.1"
"36","anxy",36,"6","1","1","326.1","93.9"
"37","anxy",37,"5","2","1","386.1","67.9"
"38","anxy",38,"6","2","1","428.3","25.7"
"39","anxy",39,"3","2","1","230.5","16.5"
"40","anxy",40,"5","2","1","369.5","14.5"
"41","anxy",41,"8","2","1","433.7","21.3"
"42","anxy",42,"7","2","1","457.5","65.5"
"43","anxy",43,"5","2","1","327.9","57.1"
"44","anxy",44,"7","2","1","334.9","15.1"
"45","anxy",45,"7","2","1","453.2","0.800000000000011"
"46","anxy",46,"8","2","1","486.6","35.4"
"47","anxy",47,"5","2","1","327.7","24.3"
"48","anxy",48,"14","2","2","471.6","17.4"
"49","anxy",49,"6","2","1","303.1","11.9"
"50","anxy",50,"7","2","1","410.2","44.8"
"51","anxy",51,"10","2","1","548.7","10.3"
"52","anxy",52,"5","2","1","479.3","9.69999999999999"
"53","anxy",53,"6","2","1","411.6","39.4"
"54","anxy",54,"6","2","1","453.2","1.80000000000001"
"55","anxy",55,"5","2","1","325.9","24.1"
"56","anxy",56,"8","2","1","504.7","18.3"
"57","anxy",57,"5","2","1","359","60"
"58","anxy",58,"5","2","1","286.4","29.6"
"59","anxy",59,"5","1","1","271.5","78.5"
"60","anxy",60,"4","1","1","331.4","88.6"
"61","anxy",61,"6","2","1","452.5","2.5"
"62","anxy",62,"7","2","1","454.5","34.5"
"63","anxy",63,"7","2","1","433.7","21.3"
"64","anxy",64,"4","1","1","348.1","104.9"
"65","anxy",65,"7","2","1","478.6","10.4"
"66","anxy",66,"5","2","1","316.7","0.300000000000011"
"67","anxy",67,"5","2","1","346.5","36.5"
"68","anxy",68,"4","2","1","317.8","32.2"
"69","anxy",69,"5","2","1","278.7","36.3"
"70","anxy",70,"9","1","2","331.2","89.8"
"71","anxy",71,"6","2","1","448.1","39.9"
"72","anxy",72,"8","2","1","412.6","7.39999999999998"
"73","anxy",73,"12","2","2","495.4","61.6"
"74","anxy",74,"8","2","1","289.8","24.2"
"75","anxy",75,"7","1","1","429.3","92.7"
"76","anxy",76,"6","2","1","428.3","26.7"
"77","anxy",77,"7","1","1","455.8","67.2"
"78","anxy",78,"6","2","1","415.4","39.6"
"79","anxy",79,"6","2","1","423.3","30.7"
"80","anxy",80,"5","2","1","399.6","17.4"
"81","anxy",81,"8","2","1","513.8","9.20000000000005"
"82","anxy",82,"5","2","1","412.2","41.8"
"83","anxy",83,"3","1","1","280.1","104.9"
"84","anxy",84,"13","2","2","500.3","22.7"
"85","anxy",85,"9","2","1","521.5","1.5"
"86","anxy",86,"9","2","1","504.3","18.7"
"87","anxy",87,"3","1","1","238.6","76.4"
"88","anxy",88,"5","2","1","276.6","3.39999999999998"
"89","anxy",89,"7","2","1","379","42"
"90","anxy",90,"14","2","2","492.8","29.2"
"91","anxy",91,"4","2","1","331.4","53.6"
"92","anxy",92,"4","2","1","324.5","25.5"
"93","anxy",93,"5","2","1","505.1","16.9"
"94","anxy",94,"5","2","1","269.6","11.4"
"95","anxy",95,"7","2","1","444.5","42.5"
"96","anxy",96,"4","2","1","308.6","7.39999999999998"
"97","anxy",97,"7","2","1","318.1","31.9"
"98","anxy",98,"4","1","1","316.4","68.6"
"99","anxy",99,"6","2","1","358.2","25.8"
"100","anxy",100,"5","2","1","394.5","24.5"
"101","anxy",101,"3","2","1","274.7","40.3"
"102","anxy",102,"4","2","1","263.4","52.6"
"103","anxy",103,"9","2","1","378.9","6.10000000000002"
"104","anxy",104,"4","2","1","316.6","66.4"
"105","anxy",105,"5","2","1","343.6","6.39999999999998"
"106","anxy",106,"9","2","1","463.7","24.3"
"107","anxy",107,"7","2","1","382","2"
"108","anxy",108,"8","1","1","437.1","85.9"
"109","anxy",109,"7","2","1","383.1","2.89999999999998"
"110","anxy",110,"4","1","1","307.4","78.6"
"111","anxy",111,"8","2","1","415","4"
"112","anxy",112,"5","2","1","483.8","5.19999999999999"
"113","anxy",113,"5","2","1","396.3","21.7"
"114","anxy",114,"4","2","1","418.7","0.300000000000011"
"115","anxy",115,"9","2","1","474.4","14.6"
"116","anxy",116,"4","2","1","280.6","0.399999999999977"
"117","anxy",117,"4","2","1","336.5","47.5"
"118","anxy",118,"9","2","1","350.6","33.4"
"119","anxy",119,"5","2","1","428.5","26.5"
"120","anxy",120,"5","3","1","349","0"
"121","cbl",1,"5","1","1","345.3","74.7"
"122","cbl",2,"9","2","1","367.3","17.7"
"123","cbl",3,"3","2","1","297","18"
"124","cbl",4,"3","2","1","300.3","13.7"
"125","cbl",5,"2","1","1","349.5","105.5"
"126","cbl",6,"6","2","1","341.8","43.2"
"127","cbl",7,"3","2","1","277.8","38.2"
"128","cbl",8,"4","2","1","345.7","39.3"
"129","cbl",9,"3","2","1","336.5","48.5"
"130","cbl",10,"3","1","1","292.3","93.7"
"131","cbl",11,"3","2","1","323.1","61.9"
"132","cbl",12,"2","1","1","241.1","74.9"
"133","cbl",13,"3","1","1","332.6","156.4"
"134","cbl",14,"4","2","1","296.2","53.8"
"135","cbl",15,"4","2","1","483.3","39.7"
"136","cbl",16,"5","2","1","399.2","55.8"
"137","cbl",17,"9","2","1","436.5","51.5"
"138","cbl",18,"4","2","1","538.5","19.5"
"139","cbl",19,"3","2","1","293.4","20.6"
"140","cbl",20,"3","1","1","280.8","139.2"
"141","cbl",21,"3","1","1","312.4","72.6"
"142","cbl",22,"6","1","1","377.45","111.55"
"143","cbl",23,"8","2","2","355.6","28.4"
"144","cbl",24,"3","1","1","325","164"
"145","cbl",25,"2","1","1","195.8","188.2"
"146","cbl",26,"11","2","2","477.2","11.8"
"147","cbl",27,"3","1","1","343.3","110.7"
"148","cbl",28,"1","1","1","197","153"
"149","cbl",29,"6","1","2","264.1","120.9"
"150","cbl",30,"2","1","1","208","72"
"151","cbl",31,"2","1","1","196.5","82.5"
"152","cbl",32,"4","2","1","503.1","54.9"
"153","cbl",33,"3","2","1","391.9","27.1"
"154","cbl",34,"3","2","1","491.5","65.5"
"155","cbl",35,"7","2","1","337.7","12.3"
"156","cbl",36,"2","2","1","416.5","3.5"
"157","cbl",37,"3","1","1","356.9","97.1"
"158","cbl",38,"8","2","1","437.2","16.8"
"159","cbl",39,"2","2","1","217.2","29.8"
"160","cbl",40,"6","2","1","349.6","34.4"
