"","RECORDING_SESSION_LABEL","sentence","word_complex","preview","condition","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREA_ID","CURRENT_FIX_INTEREST_AREA_RUN_ID","CURRENT_FIX_X"
"1","01mwl",1,"LC","ID","LC_ID",4,"2","1",388.5
"2","01mwl",2,"LC","ID","LC_ID",6,"1","1",399.6
"3","01mwl",3,"LC","ID","LC_ID",8,"1","1",435.9
"4","01mwl",4,"LC","ID","LC_ID",4,"2","1",366.2
"5","01mwl",5,"LC","ID","LC_ID",5,"2","1",339.1
"6","01mwl",6,"LC","ID","LC_ID",4,"2","1",256.2
"7","01mwl",7,"LC","ID","LC_ID",9,"2","1",460.2
"8","01mwl",8,"LC","ID","LC_ID",4,"1","1",420.2
"9","01mwl",9,"LC","ID","LC_ID",7,"1","1",402.1
"10","01mwl",10,"LC","ID","LC_ID",5,"1","1",328.3
"11","01mwl",11,"LC","ID","LC_ID",6,"1","1",497.2
"12","01mwl",12,"LC","ID","LC_ID",5,"1","1",295.4
"13","01mwl",13,"LC","ID","LC_ID",4,"1","1",367.6
"14","01mwl",14,"LC","ID","LC_ID",8,"2","1",402.5
"15","01mwl",15,"LC","ID","LC_ID",4,"1","1",296.3
"16","01mwl",16,"LC","ID","LC_ID",3,"1","1",249
"17","01mwl",17,"LC","TP","LC_TP",4,"2","1",337.3
"18","01mwl",18,"LC","TP","LC_TP",7,"2","1",404.3
"19","01mwl",19,"LC","TP","LC_TP",6,"2","1",503.3
"20","01mwl",20,"LC","TP","LC_TP",5,"2","1",305.7
"21","01mwl",21,"LC","TP","LC_TP",5,"1","1",298.4
"22","01mwl",22,"LC","TP","LC_TP",3,"1","1",292.9
"23","01mwl",23,"LC","TP","LC_TP",12,"2","1",309.1
"24","01mwl",24,"LC","TP","LC_TP",4,"2","1",347.4
"25","01mwl",25,"LC","TP","LC_TP",5,"2","1",305.4
"26","01mwl",26,"LC","TP","LC_TP",12,"2","1",392.3
"27","01mwl",27,"LC","TP","LC_TP",3,"1","1",222.1
"28","01mwl",28,"LC","TP","LC_TP",3,"1","1",206.4
"29","01mwl",29,"LC","TP","LC_TP",5,"1","1",321.4
"30","01mwl",30,"LC","TP","LC_TP",3,"2","1",340.9
"31","01mwl",31,"LC","TP","LC_TP",5,"2","1",322.3
"32","01mwl",32,"LC","TP","LC_TP",5,"1","1",355.2
"33","01mwl",33,"LC","JL","LC_JL",3,"1","1",309.6
"34","01mwl",34,"LC","JL","LC_JL",8,"2","1",348.1
"35","01mwl",35,"LC","JL","LC_JL",6,"2","1",426
"36","01mwl",36,"LC","JL","LC_JL",5,"1","1",386.6
