"","RECORDING_SESSION_LABEL","sentence","word_complex","preview","condition","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREA_ID","CURRENT_FIX_INTEREST_AREA_RUN_ID","CURRENT_FIX_X","X","X.1","index"
"1","05wyh",119,"HC","JH","HC_JH",1,"1","1",121,NA,0,1
"2","05wyh",119,"HC","JH","HC_JH",2,"1","1",227.9,NA,0,2
"3","05wyh",119,"HC","JH","HC_JH",3,"1","1",199.5,NA,0,3
"4","05wyh",119,"HC","JH","HC_JH",4,"1","1",257.9,NA,1,4
"5","05wyh",119,"HC","JH","HC_JH",5,"2","1",361.7,NA,1,5
"6","05wyh",119,"HC","JH","HC_JH",6,"1","2",195,NA,0,6
"7","05wyh",119,"HC","JH","HC_JH",7,"1","2",243.6,NA,1,7
"8","05wyh",119,"HC","JH","HC_JH",8,"2","2",360.1,NA,1,8
"9","05wyh",119,"HC","JH","HC_JH",9,"4","1",412.1,NA,1,9
"10","05wyh",119,"HC","JH","HC_JH",10,"2","3",373.4,NA,1,10
"11","05wyh",119,"HC","JH","HC_JH",11,"5","1",581.2,NA,0,11
"12","05wyh",119,"HC","JH","HC_JH",12,"5","1",653,NA,1,12
"13","05wyh",20,"LC","TP","LC_TP",1,"1","1",108.6,NA,0,13
"14","05wyh",20,"LC","TP","LC_TP",2,"1","1",215.4,NA,0,14
"15","05wyh",20,"LC","TP","LC_TP",3,"1","1",175.5,NA,0,15
"16","05wyh",20,"LC","TP","LC_TP",4,"1","1",263.1,NA,1,16
"17","05wyh",20,"LC","TP","LC_TP",5,"5","1",386,NA,0,17
"18","05wyh",20,"LC","TP","LC_TP",6,"5","1",475.4,NA,0,18
"19","05wyh",20,"LC","TP","LC_TP",7,"5","1",613.1,NA,0,19
"20","05wyh",20,"LC","TP","LC_TP",8,"5","1",668.8,NA,1,20
"21","05wyh",20,"LC","TP","LC_TP",9,".",".",768.3,NA,1,21
"22","05wyh",20,"LC","TP","LC_TP",10,"5","2",536.2,NA,0,22
"23","05wyh",20,"LC","TP","LC_TP",11,"5","2",694.7,NA,1,23
"24","05wyh",78,"HC","ID","HC_ID",1,"1","1",118.8,NA,0,24
"25","05wyh",78,"HC","ID","HC_ID",2,"1","1",205.8,NA,0,25
"26","05wyh",78,"HC","ID","HC_ID",3,"1","1",183.6,NA,0,26
"27","05wyh",78,"HC","ID","HC_ID",4,"1","1",273.3,NA,1,27
"28","05wyh",78,"HC","ID","HC_ID",5,"3","1",344.6,NA,1,28
"29","05wyh",78,"HC","ID","HC_ID",6,"1","2",295.2,NA,1,29
"30","05wyh",78,"HC","ID","HC_ID",7,"5","1",432.3,NA,0,30
"31","05wyh",78,"HC","ID","HC_ID",8,"5","1",509.4,NA,0,31
"32","05wyh",78,"HC","ID","HC_ID",9,"5","1",604.2,NA,0,32
"33","05wyh",78,"HC","ID","HC_ID",10,"5","1",687.8,NA,1,33
"34","05wyh",78,"HC","ID","HC_ID",11,"1","3",188.2,NA,0,34
"35","05wyh",37,"LC","JL","LC_JL",1,"1","1",119.2,NA,0,35
"36","05wyh",37,"LC","JL","LC_JL",2,"1","1",199.9,NA,0,36
"37","05wyh",37,"LC","JL","LC_JL",3,"1","1",184,NA,0,37
"38","05wyh",37,"LC","JL","LC_JL",4,"1","1",241.9,NA,1,38
"39","05wyh",37,"LC","JL","LC_JL",5,"3","1",319.8,NA,0,39
"40","05wyh",37,"LC","JL","LC_JL",6,"3","1",333.4,NA,1,40
"41","05wyh",37,"LC","JL","LC_JL",7,"5","1",441.2,NA,0,41
"42","05wyh",37,"LC","JL","LC_JL",8,"5","1",510.1,NA,0,42
"43","05wyh",37,"LC","JL","LC_JL",9,"5","1",600,NA,0,43
"44","05wyh",37,"LC","JL","LC_JL",10,"5","1",656.7,NA,1,44
"45","05wyh",36,"LC","JL","LC_JL",1,"1","1",122.2,NA,0,45
"46","05wyh",36,"LC","JL","LC_JL",2,"1","1",213.3,NA,0,46
"47","05wyh",36,"LC","JL","LC_JL",3,"1","1",309.9,NA,1,47
"48","05wyh",36,"LC","JL","LC_JL",4,"2","1",420.7,NA,1,48
"49","05wyh",36,"LC","JL","LC_JL",5,"4","1",476.6,NA,1,49
"50","05wyh",36,"LC","JL","LC_JL",6,"1","2",343.3,NA,1,50
